@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'id' string

@data
0.595,0.288,3,-11.17,0.0247,0.825,0.121,0.0913,0.345,96.012,7D0q9XQg10KdlrjdDrrHph
0.711,0.763,4,-3.888,0.0298,0.101,0,0.187,0.792,106.006,2ctj1bvKeVGfm78V9pN4CW
0.464,0.422,4,-11.422,0.0315,0.0604,0.0104,0.112,0.402,126.703,1bFgm9PdCQeKsEpqOWn1II
0.509,0.183,0,-18.628,0.0326,0.901,0.0556,0.112,0.18,75.073,5oM94y5XDIQQOouLu28dFR
0.695,0.237,10,-11.741,0.033,0.932,0.00000135,0.116,0.355,107.795,5yk3STf33gZS1Ut4WoZVXp
0.505,0.42,6,-9.723,0.0433,0.709,0.0000118,0.124,0.712,105.023,60pNex83TSOAjoYxkhW4QE
0.708,0.554,10,-6.83,0.0311,0.403,0.0428,0.126,0.564,103.999,4dGuRldChjvboZktprNJFM
0.383,0.335,4,-10.598,0.0315,0.754,0.955,0.136,0.658,135.56,1VRKBE1ssU5ZuBt90i3Jdy
0.337,0.394,7,-10.241,0.0455,0.644,0.00979,0.122,0.403,67.5,17OcTTNARgnJG30N2seDC9
0.308,0.132,9,-20.47,0.0273,0.988,0.957,0.197,0.136,104.195,3vuQX59agbrT5rDG8hxt7n
0.541,0.704,7,-5.787,0.032,0.727,0.00769,0.347,0.63,144.944,2mbqBIr7xBP9bc9ncCxaAV
0.821,0.54,3,-7.001,0.0683,0.203,0.000657,0.102,0.587,114.021,4jU8cG03XctHAKm3b6bNPX
0.374,0.661,2,-5.713,0.0406,0.0336,0.000089,0.0938,0.946,163.926,7sMn5JJ7rzgl9MmgucEXsZ
0.672,0.38,2,-8.571,0.0377,0.566,0.0000967,0.0689,0.182,143.858,7wfnWmjiQDnmRGrEunlT75
0.743,0.659,10,-6.755,0.0343,0.0998,0.00028,0.0622,0.804,114.033,6acDlNeA06MCVCzsTVGr9V
0.694,0.661,2,-9.56,0.0418,0.778,0.643,0.104,0.204,93.992,4xPoGj1cAY9v5AGardly8e
0.72,0.131,10,-21.185,0.0352,0.841,0.935,0.0981,0.18,122.864,0UqRhRTH7FqsnOR0AZ16rX
0.641,0.181,11,-14.152,0.0295,0.707,0,0.0791,0.29,134.888,5kPrPRa2NRR5PihDqb01f3
0.611,0.538,9,-7.74,0.0343,0.76,0.0000268,0.612,0.319,90.124,2NVaKeIAUZwN5tXnn12EMi
0.617,0.454,3,-11.24,0.0303,0.722,0.0172,0.0774,0.694,104.466,6f2o3F3BoPwlicA0ko2gAb
0.893,0.41,7,-11.317,0.095,0.805,0.754,0.0947,0.36,127.961,4AfTpdRmKc1scUHcSPxjrI
0.619,0.437,7,-11.756,0.0314,0.465,0.00619,0.0971,0.408,89.508,3E6iea9uEmB7gRru4lyP6h
0.477,0.511,0,-8.843,0.0734,0.638,0.0000257,0.103,0.488,178.35,5HsJGA8P5fPzR06i9FQKBr
